season,grand_prix,driver_id,lap_number,lap_time,sector1_time,sector2_time,sector3_time,position
2019,Australian Grand Prix,10,1.0,105.008,,0 days 00:00:24.917000,0 days 00:00:38.018000,17.0
2019,Australian Grand Prix,10,2.0,91.585,0 days 00:00:30.704000,0 days 00:00:24.245000,0 days 00:00:36.636000,16.0
2019,Australian Grand Prix,10,3.0,91.406,0 days 00:00:30.920000,0 days 00:00:24.387000,0 days 00:00:36.099000,16.0
2019,Australian Grand Prix,10,4.0,92.361,0 days 00:00:32.196000,0 days 00:00:24.238000,0 days 00:00:35.927000,16.0
2019,Australian Grand Prix,10,5.0,91.171,0 days 00:00:30.366000,0 days 00:00:24.301000,0 days 00:00:36.504000,16.0
2019,Australian Grand Prix,10,6.0,91.02,0 days 00:00:30.534000,0 days 00:00:24.444000,0 days 00:00:36.042000,16.0
2019,Australian Grand Prix,10,7.0,91.165,0 days 00:00:30.592000,0 days 00:00:24.278000,0 days 00:00:36.295000,16.0
2019,Australian Grand Prix,10,8.0,91.434,0 days 00:00:30.722000,0 days 00:00:24.391000,0 days 00:00:36.321000,16.0
2019,Australian Grand Prix,10,9.0,91.161,0 days 00:00:30.521000,0 days 00:00:24.492000,0 days 00:00:36.148000,16.0
2019,Australian Grand Prix,10,10.0,91.449,0 days 00:00:30.317000,0 days 00:00:24.350000,0 days 00:00:36.782000,15.0
2019,Australian Grand Prix,10,11.0,90.129,0 days 00:00:30.156000,0 days 00:00:24.102000,0 days 00:00:35.871000,15.0
2019,Australian Grand Prix,10,12.0,90.497,0 days 00:00:30.342000,0 days 00:00:24.143000,0 days 00:00:36.012000,14.0
2019,Australian Grand Prix,10,13.0,91.143,0 days 00:00:30.525000,0 days 00:00:24.313000,0 days 00:00:36.305000,12.0
2019,Australian Grand Prix,10,14.0,90.303,0 days 00:00:30.151000,0 days 00:00:24.090000,0 days 00:00:36.062000,10.0
2019,Australian Grand Prix,10,15.0,89.907,0 days 00:00:30.238000,0 days 00:00:23.996000,0 days 00:00:35.673000,8.0
2019,Australian Grand Prix,10,16.0,89.569,0 days 00:00:29.949000,0 days 00:00:23.906000,0 days 00:00:35.714000,8.0
